#    L    TT             EE             BB             TE          
   230    0.56081E+04    0.12187E+01    0.17579E-01    0.31053E+02
   231    0.56014E+04    0.12610E+01    0.17741E-01    0.32713E+02
   232    0.55943E+04    0.13050E+01    0.17902E-01    0.34376E+02
   233    0.55865E+04    0.13511E+01    0.18064E-01    0.36041E+02
   234    0.55780E+04    0.13991E+01    0.18226E-01    0.37708E+02
   235    0.55690E+04    0.14490E+01    0.18388E-01    0.39376E+02
   236    0.55593E+04    0.15009E+01    0.18550E-01    0.41045E+02
   237    0.55490E+04    0.15548E+01    0.18713E-01    0.42714E+02
   238    0.55381E+04    0.16108E+01    0.18876E-01    0.44381E+02
   239    0.55266E+04    0.16688E+01    0.19039E-01    0.46047E+02
   240    0.55145E+04    0.17288E+01    0.19202E-01    0.47710E+02
   241    0.55019E+04    0.17909E+01    0.19365E-01    0.49369E+02
   242    0.54887E+04    0.18552E+01    0.19528E-01    0.51025E+02
   243    0.54749E+04    0.19215E+01    0.19691E-01    0.52676E+02
   244    0.54605E+04    0.19900E+01    0.19854E-01    0.54322E+02
   245    0.54455E+04    0.20607E+01    0.20017E-01    0.55961E+02
   246    0.54300E+04    0.21335E+01    0.20181E-01    0.57594E+02
   247    0.54140E+04    0.22084E+01    0.20344E-01    0.59219E+02
   248    0.53973E+04    0.22858E+01    0.20507E-01    0.60836E+02
   249    0.53803E+04    0.23652E+01    0.20670E-01    0.62443E+02
   250    0.53626E+04    0.24469E+01    0.20833E-01    0.64041E+02
   251    0.53445E+04    0.25308E+01    0.20995E-01    0.65628E+02
   252    0.53257E+04    0.26169E+01    0.21158E-01    0.67205E+02
   253    0.53067E+04    0.27052E+01    0.21320E-01    0.68768E+02
   254    0.52870E+04    0.27958E+01    0.21483E-01    0.70320E+02
   255    0.52668E+04    0.28886E+01    0.21645E-01    0.71858E+02
   256    0.52462E+04    0.29838E+01    0.21806E-01    0.73384E+02
   257    0.52251E+04    0.30810E+01    0.21968E-01    0.74889E+02
   258    0.52036E+04    0.31806E+01    0.22129E-01    0.76386E+02
   259    0.51815E+04    0.32824E+01    0.22290E-01    0.77860E+02
   260    0.51591E+04    0.33865E+01    0.22451E-01    0.79325E+02
   261    0.51362E+04    0.34927E+01    0.22611E-01    0.80761E+02
   262    0.51128E+04    0.36012E+01    0.22771E-01    0.82188E+02
   263    0.50892E+04    0.37120E+01    0.22931E-01    0.83599E+02
   264    0.50651E+04    0.38249E+01    0.23090E-01    0.84988E+02
   265    0.50404E+04    0.39401E+01    0.23249E-01    0.86346E+02
   266    0.50154E+04    0.40575E+01    0.23407E-01    0.87696E+02
   267    0.49899E+04    0.41770E+01    0.23565E-01    0.89016E+02
   268    0.49641E+04    0.42988E+01    0.23723E-01    0.90320E+02
   269    0.49377E+04    0.44227E+01    0.23880E-01    0.91601E+02
   270    0.49111E+04    0.45488E+01    0.24036E-01    0.92859E+02
   271    0.48841E+04    0.46769E+01    0.24192E-01    0.94095E+02
   272    0.48568E+04    0.48074E+01    0.24348E-01    0.95300E+02
   273    0.48291E+04    0.49396E+01    0.24503E-01    0.96489E+02
   274    0.48012E+04    0.50742E+01    0.24658E-01    0.97641E+02
   275    0.47728E+04    0.52106E+01    0.24812E-01    0.98777E+02
   276    0.47443E+04    0.53491E+01    0.24965E-01    0.99875E+02
   277    0.47153E+04    0.54896E+01    0.25118E-01    0.10096E+03
   278    0.46861E+04    0.56321E+01    0.25270E-01    0.10200E+03
   279    0.46566E+04    0.57765E+01    0.25422E-01    0.10302E+03
   280    0.46268E+04    0.59228E+01    0.25573E-01    0.10402E+03
   281    0.45968E+04    0.60711E+01    0.25724E-01    0.10498E+03
   282    0.45665E+04    0.62211E+01    0.25874E-01    0.10591E+03
   283    0.45359E+04    0.63730E+01    0.26023E-01    0.10681E+03
   284    0.45052E+04    0.65266E+01    0.26172E-01    0.10768E+03
   285    0.44743E+04    0.66821E+01    0.26320E-01    0.10852E+03
   286    0.44430E+04    0.68393E+01    0.26468E-01    0.10933E+03
   287    0.44116E+04    0.69981E+01    0.26615E-01    0.11011E+03
