#    L    TT             EE             TE             PP             TP          
   194    0.54415E+04    0.67267E+00   -0.21273E+02    0.26879E+07    0.28250E+04
   195    0.54568E+04    0.66806E+00   -0.20141E+02    0.26738E+07    0.28029E+04
   196    0.54714E+04    0.66412E+00   -0.18984E+02    0.26598E+07    0.27810E+04
   197    0.54856E+04    0.66088E+00   -0.17806E+02    0.26459E+07    0.27593E+04
   198    0.54993E+04    0.65839E+00   -0.16604E+02    0.26321E+07    0.27377E+04
   199    0.55125E+04    0.65667E+00   -0.15381E+02    0.26185E+07    0.27164E+04
   200    0.55251E+04    0.65575E+00   -0.14135E+02    0.26049E+07    0.26952E+04
   201    0.55371E+04    0.65570E+00   -0.12868E+02    0.25915E+07    0.26741E+04
   202    0.55486E+04    0.65652E+00   -0.11579E+02    0.25781E+07    0.26532E+04
   203    0.55595E+04    0.65827E+00   -0.10269E+02    0.25649E+07    0.26325E+04
   204    0.55697E+04    0.66098E+00   -0.89410E+01    0.25518E+07    0.26119E+04
   205    0.55794E+04    0.66468E+00   -0.75919E+01    0.25387E+07    0.25915E+04
   206    0.55884E+04    0.66942E+00   -0.62233E+01    0.25258E+07    0.25712E+04
   207    0.55968E+04    0.67522E+00   -0.48358E+01    0.25130E+07    0.25511E+04
   208    0.56046E+04    0.68212E+00   -0.34297E+01    0.25003E+07    0.25311E+04
   209    0.56117E+04    0.69016E+00   -0.20056E+01    0.24877E+07    0.25113E+04
   210    0.56182E+04    0.69939E+00   -0.56427E+00    0.24751E+07    0.24916E+04
   211    0.56241E+04    0.70983E+00    0.89415E+00    0.24627E+07    0.24721E+04
   212    0.56293E+04    0.72151E+00    0.23687E+01    0.24504E+07    0.24527E+04
   213    0.56339E+04    0.73448E+00    0.38595E+01    0.24382E+07    0.24335E+04
   214    0.56379E+04    0.74873E+00    0.53653E+01    0.24260E+07    0.24144E+04
   215    0.56413E+04    0.76445E+00    0.68853E+01    0.24140E+07    0.23954E+04
   216    0.56440E+04    0.78147E+00    0.84200E+01    0.24021E+07    0.23766E+04
   217    0.56461E+04    0.79993E+00    0.99674E+01    0.23902E+07    0.23579E+04
   218    0.56476E+04    0.81983E+00    0.11528E+02    0.23784E+07    0.23394E+04
   219    0.56485E+04    0.84118E+00    0.13102E+02    0.23668E+07    0.23210E+04
   220    0.56488E+04    0.86412E+00    0.14686E+02    0.23552E+07    0.23028E+04
   221    0.56485E+04    0.88858E+00    0.16281E+02    0.23437E+07    0.22847E+04
   222    0.56475E+04    0.91471E+00    0.17886E+02    0.23323E+07    0.22667E+04
   223    0.56459E+04    0.94243E+00    0.19503E+02    0.23210E+07    0.22488E+04
   224    0.56438E+04    0.97174E+00    0.21126E+02    0.23098E+07    0.22311E+04
   225    0.56410E+04    0.10028E+01    0.22760E+02    0.22987E+07    0.22135E+04
   226    0.56376E+04    0.10356E+01    0.24400E+02    0.22876E+07    0.21961E+04
   227    0.56335E+04    0.10701E+01    0.26047E+02    0.22767E+07    0.21788E+04
   228    0.56289E+04    0.11064E+01    0.27701E+02    0.22658E+07    0.21616E+04
   229    0.56237E+04    0.11445E+01    0.29360E+02    0.22550E+07    0.21445E+04
   230    0.56179E+04    0.11844E+01    0.31025E+02    0.22443E+07    0.21276E+04
   231    0.56113E+04    0.12262E+01    0.32694E+02    0.22336E+07    0.21108E+04
   232    0.56043E+04    0.12699E+01    0.34367E+02    0.22231E+07    0.20942E+04
   233    0.55966E+04    0.13155E+01    0.36042E+02    0.22126E+07    0.20776E+04
   234    0.55882E+04    0.13631E+01    0.37719E+02    0.22022E+07    0.20612E+04
   235    0.55793E+04    0.14126E+01    0.39397E+02    0.21919E+07    0.20449E+04
   236    0.55696E+04    0.14641E+01    0.41076E+02    0.21817E+07    0.20287E+04
   237    0.55594E+04    0.15176E+01    0.42755E+02    0.21715E+07    0.20127E+04
   238    0.55486E+04    0.15732E+01    0.44433E+02    0.21614E+07    0.19967E+04
   239    0.55373E+04    0.16308E+01    0.46110E+02    0.21514E+07    0.19809E+04
   240    0.55252E+04    0.16905E+01    0.47784E+02    0.21414E+07    0.19652E+04
   241    0.55127E+04    0.17523E+01    0.49455E+02    0.21316E+07    0.19497E+04
   242    0.54995E+04    0.18162E+01    0.51122E+02    0.21218E+07    0.19342E+04
   243    0.54858E+04    0.18822E+01    0.52785E+02    0.21121E+07    0.19189E+04
   244    0.54715E+04    0.19504E+01    0.54443E+02    0.21024E+07    0.19036E+04
   245    0.54566E+04    0.20208E+01    0.56094E+02    0.20928E+07    0.18885E+04
   246    0.54411E+04    0.20933E+01    0.57740E+02    0.20833E+07    0.18735E+04
   247    0.54251E+04    0.21680E+01    0.59377E+02    0.20738E+07    0.18586E+04
   248    0.54086E+04    0.22451E+01    0.61006E+02    0.20644E+07    0.18438E+04
   249    0.53915E+04    0.23243E+01    0.62627E+02    0.20551E+07    0.18292E+04
   250    0.53739E+04    0.24058E+01    0.64237E+02    0.20459E+07    0.18146E+04
   251    0.53559E+04    0.24894E+01    0.65838E+02    0.20367E+07    0.18002E+04
   252    0.53371E+04    0.25754E+01    0.67428E+02    0.20275E+07    0.17858E+04
   253    0.53181E+04    0.26635E+01    0.69005E+02    0.20185E+07    0.17716E+04
   254    0.52984E+04    0.27540E+01    0.70570E+02    0.20095E+07    0.17575E+04
   255    0.52783E+04    0.28466E+01    0.72122E+02    0.20005E+07    0.17434E+04
   256    0.52577E+04    0.29417E+01    0.73662E+02    0.19916E+07    0.17295E+04
   257    0.52366E+04    0.30388E+01    0.75181E+02    0.19828E+07    0.17157E+04
   258    0.52150E+04    0.31383E+01    0.76692E+02    0.19740E+07    0.17020E+04
   259    0.51930E+04    0.32401E+01    0.78181E+02    0.19653E+07    0.16884E+04
   260    0.51706E+04    0.33441E+01    0.79661E+02    0.19567E+07    0.16748E+04
   261    0.51477E+04    0.34503E+01    0.81111E+02    0.19481E+07    0.16614E+04
   262    0.51242E+04    0.35589E+01    0.82553E+02    0.19396E+07    0.16481E+04
   263    0.51006E+04    0.36697E+01    0.83979E+02    0.19311E+07    0.16349E+04
   264    0.50764E+04    0.37827E+01    0.85382E+02    0.19227E+07    0.16218E+04
   265    0.50517E+04    0.38979E+01    0.86756E+02    0.19143E+07    0.16088E+04
   266    0.50267E+04    0.40155E+01    0.88121E+02    0.19061E+07    0.15958E+04
   267    0.50012E+04    0.41351E+01    0.89455E+02    0.18978E+07    0.15830E+04
   268    0.49753E+04    0.42572E+01    0.90775E+02    0.18896E+07    0.15702E+04
   269    0.49489E+04    0.43813E+01    0.92071E+02    0.18815E+07    0.15576E+04
   270    0.49222E+04    0.45075E+01    0.93344E+02    0.18734E+07    0.15450E+04
   271    0.48951E+04    0.46359E+01    0.94595E+02    0.18654E+07    0.15326E+04
   272    0.48678E+04    0.47666E+01    0.95815E+02    0.18574E+07    0.15202E+04
   273    0.48401E+04    0.48992E+01    0.97020E+02    0.18495E+07    0.15079E+04
   274    0.48120E+04    0.50341E+01    0.98187E+02    0.18416E+07    0.14957E+04
   275    0.47836E+04    0.51709E+01    0.99338E+02    0.18338E+07    0.14836E+04
   276    0.47550E+04    0.53097E+01    0.10045E+03    0.18261E+07    0.14716E+04
   277    0.47259E+04    0.54507E+01    0.10155E+03    0.18183E+07    0.14596E+04
   278    0.46966E+04    0.55937E+01    0.10261E+03    0.18107E+07    0.14478E+04
   279    0.46670E+04    0.57385E+01    0.10364E+03    0.18031E+07    0.14360E+04
   280    0.46371E+04    0.58854E+01    0.10465E+03    0.17955E+07    0.14243E+04
   281    0.46070E+04    0.60342E+01    0.10563E+03    0.17880E+07    0.14127E+04
   282    0.45765E+04    0.61848E+01    0.10658E+03    0.17805E+07    0.14012E+04
   283    0.45459E+04    0.63372E+01    0.10749E+03    0.17731E+07    0.13897E+04
   284    0.45150E+04    0.64915E+01    0.10838E+03    0.17658E+07    0.13784E+04
   285    0.44840E+04    0.66477E+01    0.10924E+03    0.17584E+07    0.13671E+04
   286    0.44526E+04    0.68056E+01    0.11005E+03    0.17512E+07    0.13559E+04
   287    0.44210E+04    0.69652E+01    0.11085E+03    0.17439E+07    0.13447E+04
   288    0.43893E+04    0.71265E+01    0.11160E+03    0.17367E+07    0.13337E+04
   289    0.43573E+04    0.72894E+01    0.11233E+03    0.17296E+07    0.13227E+04
   290    0.43252E+04    0.74537E+01    0.11303E+03    0.17225E+07    0.13118E+04
   291    0.42930E+04    0.76203E+01    0.11368E+03    0.17155E+07    0.13010E+04
   292    0.42603E+04    0.77880E+01    0.11431E+03    0.17085E+07    0.12902E+04
