#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    96    0.25390E+04   -0.20261E+02    0.42826E-05   -0.20261E+02    0.70202E+00   -0.12727E-07    0.42826E-05   -0.12727E-07    0.11288E-10
    97    0.25691E+04   -0.20908E+02    0.41887E-05   -0.20908E+02    0.71689E+00   -0.12465E-07    0.41887E-05   -0.12465E-07    0.10984E-10
    98    0.25995E+04   -0.21555E+02    0.40978E-05   -0.21555E+02    0.73167E+00   -0.12108E-07    0.40978E-05   -0.12108E-07    0.10692E-10
    99    0.26299E+04   -0.22205E+02    0.40099E-05   -0.22205E+02    0.74630E+00   -0.11671E-07    0.40099E-05   -0.11671E-07    0.10409E-10
   100    0.26606E+04   -0.22855E+02    0.39249E-05   -0.22855E+02    0.76080E+00   -0.11167E-07    0.39249E-05   -0.11167E-07    0.10136E-10
   101    0.26915E+04   -0.23507E+02    0.38425E-05   -0.23507E+02    0.77522E+00   -0.10610E-07    0.38425E-05   -0.10610E-07    0.98731E-11
   102    0.27229E+04   -0.24158E+02    0.37627E-05   -0.24158E+02    0.78941E+00   -0.10013E-07    0.37627E-05   -0.10013E-07    0.96190E-11
   103    0.27542E+04   -0.24811E+02    0.36854E-05   -0.24811E+02    0.80345E+00   -0.93908E-08    0.36854E-05   -0.93908E-08    0.93736E-11
   104    0.27857E+04   -0.25461E+02    0.36104E-05   -0.25461E+02    0.81734E+00   -0.87570E-08    0.36104E-05   -0.87570E-08    0.91365E-11
   105    0.28174E+04   -0.26110E+02    0.35376E-05   -0.26110E+02    0.83101E+00   -0.81251E-08    0.35376E-05   -0.81251E-08    0.89074E-11
   106    0.28493E+04   -0.26757E+02    0.34669E-05   -0.26757E+02    0.84452E+00   -0.75091E-08    0.34669E-05   -0.75091E-08    0.86858E-11
   107    0.28811E+04   -0.27402E+02    0.33982E-05   -0.27402E+02    0.85773E+00   -0.69228E-08    0.33982E-05   -0.69228E-08    0.84714E-11
   108    0.29134E+04   -0.28044E+02    0.33314E-05   -0.28044E+02    0.87072E+00   -0.63797E-08    0.33314E-05   -0.63797E-08    0.82637E-11
   109    0.29457E+04   -0.28682E+02    0.32662E-05   -0.28682E+02    0.88341E+00   -0.58939E-08    0.32662E-05   -0.58939E-08    0.80625E-11
   110    0.29782E+04   -0.29316E+02    0.32027E-05   -0.29316E+02    0.89579E+00   -0.54790E-08    0.32027E-05   -0.54790E-08    0.78673E-11
   111    0.30108E+04   -0.29945E+02    0.31407E-05   -0.29945E+02    0.90796E+00   -0.51455E-08    0.31407E-05   -0.51455E-08    0.76778E-11
   112    0.30435E+04   -0.30570E+02    0.30801E-05   -0.30570E+02    0.91982E+00   -0.48907E-08    0.30801E-05   -0.48907E-08    0.74937E-11
   113    0.30765E+04   -0.31189E+02    0.30210E-05   -0.31189E+02    0.93139E+00   -0.47085E-08    0.30210E-05   -0.47085E-08    0.73150E-11
   114    0.31096E+04   -0.31802E+02    0.29633E-05   -0.31802E+02    0.94258E+00   -0.45929E-08    0.29633E-05   -0.45929E-08    0.71415E-11
   115    0.31429E+04   -0.32407E+02    0.29070E-05   -0.32407E+02    0.95354E+00   -0.45378E-08    0.29070E-05   -0.45378E-08    0.69731E-11
   116    0.31762E+04   -0.33005E+02    0.28520E-05   -0.33005E+02    0.96406E+00   -0.45371E-08    0.28520E-05   -0.45371E-08    0.68097E-11
   117    0.32098E+04   -0.33595E+02    0.27984E-05   -0.33595E+02    0.97420E+00   -0.45848E-08    0.27984E-05   -0.45848E-08    0.66510E-11
   118    0.32435E+04   -0.34177E+02    0.27460E-05   -0.34177E+02    0.98412E+00   -0.46748E-08    0.27460E-05   -0.46748E-08    0.64970E-11
   119    0.32773E+04   -0.34750E+02    0.26950E-05   -0.34750E+02    0.99366E+00   -0.48010E-08    0.26950E-05   -0.48010E-08    0.63475E-11
   120    0.33112E+04   -0.35312E+02    0.26451E-05   -0.35312E+02    0.10027E+01   -0.49575E-08    0.26451E-05   -0.49575E-08    0.62024E-11
   121    0.33451E+04   -0.35865E+02    0.25965E-05   -0.35865E+02    0.10115E+01   -0.51381E-08    0.25965E-05   -0.51381E-08    0.60616E-11
   122    0.33791E+04   -0.36407E+02    0.25491E-05   -0.36407E+02    0.10197E+01   -0.53369E-08    0.25491E-05   -0.53369E-08    0.59249E-11
   123    0.34131E+04   -0.36938E+02    0.25029E-05   -0.36938E+02    0.10276E+01   -0.55476E-08    0.25029E-05   -0.55476E-08    0.57921E-11
   124    0.34473E+04   -0.37455E+02    0.24578E-05   -0.37455E+02    0.10350E+01   -0.57644E-08    0.24578E-05   -0.57644E-08    0.56632E-11
   125    0.34814E+04   -0.37961E+02    0.24139E-05   -0.37961E+02    0.10420E+01   -0.59810E-08    0.24139E-05   -0.59810E-08    0.55380E-11
   126    0.35156E+04   -0.38455E+02    0.23710E-05   -0.38455E+02    0.10486E+01   -0.61915E-08    0.23710E-05   -0.61915E-08    0.54163E-11
   127    0.35498E+04   -0.38936E+02    0.23291E-05   -0.38936E+02    0.10547E+01   -0.63898E-08    0.23291E-05   -0.63898E-08    0.52981E-11
   128    0.35841E+04   -0.39403E+02    0.22884E-05   -0.39403E+02    0.10604E+01   -0.65699E-08    0.22884E-05   -0.65699E-08    0.51831E-11
   129    0.36184E+04   -0.39855E+02    0.22486E-05   -0.39855E+02    0.10656E+01   -0.67256E-08    0.22486E-05   -0.67256E-08    0.50713E-11
   130    0.36526E+04   -0.40293E+02    0.22098E-05   -0.40293E+02    0.10703E+01   -0.68510E-08    0.22098E-05   -0.68510E-08    0.49625E-11
   131    0.36869E+04   -0.40716E+02    0.21720E-05   -0.40716E+02    0.10746E+01   -0.69414E-08    0.21720E-05   -0.69414E-08    0.48566E-11
   132    0.37213E+04   -0.41122E+02    0.21351E-05   -0.41122E+02    0.10784E+01   -0.69977E-08    0.21351E-05   -0.69977E-08    0.47535E-11
   133    0.37556E+04   -0.41514E+02    0.20991E-05   -0.41514E+02    0.10817E+01   -0.70225E-08    0.20991E-05   -0.70225E-08    0.46531E-11
   134    0.37899E+04   -0.41887E+02    0.20639E-05   -0.41887E+02    0.10845E+01   -0.70181E-08    0.20639E-05   -0.70181E-08    0.45554E-11
   135    0.38242E+04   -0.42244E+02    0.20296E-05   -0.42244E+02    0.10869E+01   -0.69870E-08    0.20296E-05   -0.69870E-08    0.44603E-11
   136    0.38583E+04   -0.42581E+02    0.19962E-05   -0.42581E+02    0.10887E+01   -0.69315E-08    0.19962E-05   -0.69315E-08    0.43677E-11
   137    0.38925E+04   -0.42901E+02    0.19635E-05   -0.42901E+02    0.10901E+01   -0.68542E-08    0.19635E-05   -0.68542E-08    0.42775E-11
   138    0.39266E+04   -0.43201E+02    0.19316E-05   -0.43201E+02    0.10910E+01   -0.67574E-08    0.19316E-05   -0.67574E-08    0.41898E-11
   139    0.39604E+04   -0.43482E+02    0.19005E-05   -0.43482E+02    0.10914E+01   -0.66435E-08    0.19005E-05   -0.66435E-08    0.41044E-11
   140    0.39943E+04   -0.43745E+02    0.18701E-05   -0.43745E+02    0.10913E+01   -0.65151E-08    0.18701E-05   -0.65151E-08    0.40212E-11
   141    0.40280E+04   -0.43986E+02    0.18403E-05   -0.43986E+02    0.10907E+01   -0.63744E-08    0.18403E-05   -0.63744E-08    0.39402E-11
   142    0.40618E+04   -0.44206E+02    0.18112E-05   -0.44206E+02    0.10896E+01   -0.62239E-08    0.18112E-05   -0.62239E-08    0.38613E-11
   143    0.40954E+04   -0.44407E+02    0.17828E-05   -0.44407E+02    0.10881E+01   -0.60661E-08    0.17828E-05   -0.60661E-08    0.37845E-11
   144    0.41288E+04   -0.44586E+02    0.17550E-05   -0.44586E+02    0.10860E+01   -0.59033E-08    0.17550E-05   -0.59033E-08    0.37097E-11
   145    0.41621E+04   -0.44744E+02    0.17277E-05   -0.44744E+02    0.10836E+01   -0.57381E-08    0.17277E-05   -0.57381E-08    0.36367E-11
   146    0.41954E+04   -0.44879E+02    0.17010E-05   -0.44879E+02    0.10806E+01   -0.55727E-08    0.17010E-05   -0.55727E-08    0.35656E-11
   147    0.42284E+04   -0.44992E+02    0.16749E-05   -0.44992E+02    0.10772E+01   -0.54097E-08    0.16749E-05   -0.54097E-08    0.34963E-11
   148    0.42613E+04   -0.45083E+02    0.16492E-05   -0.45083E+02    0.10733E+01   -0.52514E-08    0.16492E-05   -0.52514E-08    0.34287E-11
   149    0.42940E+04   -0.45151E+02    0.16240E-05   -0.45151E+02    0.10690E+01   -0.51003E-08    0.16240E-05   -0.51003E-08    0.33627E-11
   150    0.43265E+04   -0.45193E+02    0.15993E-05   -0.45193E+02    0.10643E+01   -0.49589E-08    0.15993E-05   -0.49589E-08    0.32983E-11
   151    0.43588E+04   -0.45213E+02    0.15750E-05   -0.45213E+02    0.10591E+01   -0.48289E-08    0.15750E-05   -0.48289E-08    0.32353E-11
   152    0.43909E+04   -0.45209E+02    0.15511E-05   -0.45209E+02    0.10535E+01   -0.47103E-08    0.15511E-05   -0.47103E-08    0.31739E-11
   153    0.44228E+04   -0.45178E+02    0.15276E-05   -0.45178E+02    0.10474E+01   -0.46024E-08    0.15276E-05   -0.46024E-08    0.31139E-11
   154    0.44544E+04   -0.45124E+02    0.15045E-05   -0.45124E+02    0.10410E+01   -0.45046E-08    0.15045E-05   -0.45046E-08    0.30552E-11
