#    L    TT             EE             TE             PP             TP          
   200    0.55856E+04    0.65778E+00   -0.13136E+02    0.24208E+07    0.26555E+04
   201    0.55974E+04    0.65857E+00   -0.11841E+02    0.24078E+07    0.26354E+04
   202    0.56088E+04    0.66027E+00   -0.10525E+02    0.23949E+07    0.26155E+04
   203    0.56195E+04    0.66294E+00   -0.91875E+01    0.23821E+07    0.25956E+04
   204    0.56296E+04    0.66660E+00   -0.78316E+01    0.23695E+07    0.25760E+04
   205    0.56391E+04    0.67131E+00   -0.64548E+01    0.23569E+07    0.25564E+04
   206    0.56479E+04    0.67708E+00   -0.50587E+01    0.23444E+07    0.25370E+04
   207    0.56562E+04    0.68396E+00   -0.36436E+01    0.23321E+07    0.25178E+04
   208    0.56637E+04    0.69199E+00   -0.22101E+01    0.23198E+07    0.24986E+04
   209    0.56706E+04    0.70119E+00   -0.75856E+00    0.23076E+07    0.24796E+04
   210    0.56769E+04    0.71162E+00    0.71005E+00    0.22956E+07    0.24608E+04
   211    0.56826E+04    0.72330E+00    0.21957E+01    0.22836E+07    0.24421E+04
   212    0.56876E+04    0.73627E+00    0.36973E+01    0.22717E+07    0.24235E+04
   213    0.56920E+04    0.75056E+00    0.52150E+01    0.22600E+07    0.24050E+04
   214    0.56957E+04    0.76618E+00    0.67476E+01    0.22483E+07    0.23867E+04
   215    0.56988E+04    0.78331E+00    0.82941E+01    0.22367E+07    0.23685E+04
   216    0.57012E+04    0.80178E+00    0.98553E+01    0.22252E+07    0.23504E+04
   217    0.57031E+04    0.82172E+00    0.11429E+02    0.22138E+07    0.23325E+04
   218    0.57043E+04    0.84316E+00    0.13015E+02    0.22025E+07    0.23147E+04
   219    0.57049E+04    0.86608E+00    0.14615E+02    0.21913E+07    0.22970E+04
   220    0.57049E+04    0.89064E+00    0.16224E+02    0.21802E+07    0.22794E+04
   221    0.57043E+04    0.91675E+00    0.17845E+02    0.21692E+07    0.22620E+04
   222    0.57030E+04    0.94458E+00    0.19475E+02    0.21582E+07    0.22447E+04
   223    0.57010E+04    0.97404E+00    0.21116E+02    0.21474E+07    0.22275E+04
   224    0.56986E+04    0.10051E+01    0.22764E+02    0.21366E+07    0.22104E+04
   225    0.56954E+04    0.10380E+01    0.24421E+02    0.21260E+07    0.21935E+04
   226    0.56917E+04    0.10727E+01    0.26085E+02    0.21154E+07    0.21767E+04
   227    0.56873E+04    0.11091E+01    0.27756E+02    0.21049E+07    0.21600E+04
   228    0.56823E+04    0.11474E+01    0.29433E+02    0.20944E+07    0.21434E+04
   229    0.56768E+04    0.11875E+01    0.31114E+02    0.20841E+07    0.21269E+04
   230    0.56705E+04    0.12294E+01    0.32801E+02    0.20738E+07    0.21106E+04
   231    0.56636E+04    0.12733E+01    0.34492E+02    0.20636E+07    0.20943E+04
   232    0.56561E+04    0.13190E+01    0.36186E+02    0.20535E+07    0.20782E+04
   233    0.56480E+04    0.13669E+01    0.37881E+02    0.20435E+07    0.20623E+04
   234    0.56392E+04    0.14166E+01    0.39578E+02    0.20336E+07    0.20464E+04
   235    0.56299E+04    0.14684E+01    0.41276E+02    0.20237E+07    0.20306E+04
   236    0.56198E+04    0.15222E+01    0.42975E+02    0.20139E+07    0.20150E+04
   237    0.56092E+04    0.15780E+01    0.44672E+02    0.20042E+07    0.19994E+04
   238    0.55979E+04    0.16360E+01    0.46369E+02    0.19946E+07    0.19840E+04
   239    0.55861E+04    0.16960E+01    0.48063E+02    0.19850E+07    0.19687E+04
   240    0.55736E+04    0.17582E+01    0.49754E+02    0.19755E+07    0.19535E+04
   241    0.55606E+04    0.18225E+01    0.51441E+02    0.19661E+07    0.19384E+04
   242    0.55470E+04    0.18889E+01    0.53125E+02    0.19567E+07    0.19234E+04
   243    0.55328E+04    0.19576E+01    0.54802E+02    0.19474E+07    0.19086E+04
   244    0.55180E+04    0.20284E+01    0.56475E+02    0.19382E+07    0.18938E+04
