#    L    TT             EE             BB             TE             PP             TP             EP          
    92    0.24208E+04    0.64173E+00    0.00000E+00   -0.17708E+02    0.10797E-06    0.43399E-03   -0.11510E-05
    93    0.24502E+04    0.65690E+00    0.00000E+00   -0.18341E+02    0.10727E-06    0.42869E-03   -0.11804E-05
    94    0.24796E+04    0.67201E+00    0.00000E+00   -0.18977E+02    0.10658E-06    0.42351E-03   -0.11958E-05
    95    0.25093E+04    0.68706E+00    0.00000E+00   -0.19618E+02    0.10589E-06    0.41845E-03   -0.11985E-05
    96    0.25390E+04    0.70202E+00    0.00000E+00   -0.20261E+02    0.10521E-06    0.41351E-03   -0.11898E-05
    97    0.25691E+04    0.71689E+00    0.00000E+00   -0.20908E+02    0.10453E-06    0.40867E-03   -0.11710E-05
    98    0.25995E+04    0.73167E+00    0.00000E+00   -0.21555E+02    0.10385E-06    0.40395E-03   -0.11435E-05
    99    0.26299E+04    0.74630E+00    0.00000E+00   -0.22205E+02    0.10318E-06    0.39932E-03   -0.11085E-05
   100    0.26606E+04    0.76080E+00    0.00000E+00   -0.22855E+02    0.10251E-06    0.39479E-03   -0.10673E-05
   101    0.26915E+04    0.77522E+00    0.00000E+00   -0.23507E+02    0.10185E-06    0.39036E-03   -0.10213E-05
   102    0.27229E+04    0.78941E+00    0.00000E+00   -0.24158E+02    0.10119E-06    0.38601E-03   -0.97183E-06
   103    0.27542E+04    0.80345E+00    0.00000E+00   -0.24811E+02    0.10053E-06    0.38175E-03   -0.92010E-06
   104    0.27857E+04    0.81734E+00    0.00000E+00   -0.25461E+02    0.99878E-07    0.37757E-03   -0.86745E-06
   105    0.28174E+04    0.83101E+00    0.00000E+00   -0.26110E+02    0.99231E-07    0.37346E-03   -0.81520E-06
   106    0.28493E+04    0.84452E+00    0.00000E+00   -0.26757E+02    0.98588E-07    0.36942E-03   -0.76464E-06
   107    0.28811E+04    0.85773E+00    0.00000E+00   -0.27402E+02    0.97949E-07    0.36545E-03   -0.71708E-06
   108    0.29134E+04    0.87072E+00    0.00000E+00   -0.28044E+02    0.97315E-07    0.36154E-03   -0.67382E-06
   109    0.29457E+04    0.88341E+00    0.00000E+00   -0.28682E+02    0.96685E-07    0.35769E-03   -0.63617E-06
   110    0.29782E+04    0.89579E+00    0.00000E+00   -0.29316E+02    0.96060E-07    0.35390E-03   -0.60542E-06
   111    0.30108E+04    0.90796E+00    0.00000E+00   -0.29945E+02    0.95439E-07    0.35015E-03   -0.58257E-06
   112    0.30435E+04    0.91982E+00    0.00000E+00   -0.30570E+02    0.94823E-07    0.34645E-03   -0.56731E-06
   113    0.30765E+04    0.93139E+00    0.00000E+00   -0.31189E+02    0.94212E-07    0.34280E-03   -0.55903E-06
   114    0.31096E+04    0.94258E+00    0.00000E+00   -0.31802E+02    0.93605E-07    0.33921E-03   -0.55712E-06
   115    0.31429E+04    0.95354E+00    0.00000E+00   -0.32407E+02    0.93003E-07    0.33566E-03   -0.56097E-06
   116    0.31762E+04    0.96406E+00    0.00000E+00   -0.33005E+02    0.92405E-07    0.33216E-03   -0.56997E-06
   117    0.32098E+04    0.97420E+00    0.00000E+00   -0.33595E+02    0.91812E-07    0.32871E-03   -0.58349E-06
   118    0.32435E+04    0.98412E+00    0.00000E+00   -0.34177E+02    0.91224E-07    0.32530E-03   -0.60094E-06
   119    0.32773E+04    0.99366E+00    0.00000E+00   -0.34750E+02    0.90639E-07    0.32195E-03   -0.62170E-06
   120    0.33112E+04    0.10027E+01    0.00000E+00   -0.35312E+02    0.90060E-07    0.31865E-03   -0.64516E-06
   121    0.33451E+04    0.10115E+01    0.00000E+00   -0.35865E+02    0.89485E-07    0.31540E-03   -0.67071E-06
   122    0.33791E+04    0.10197E+01    0.00000E+00   -0.36407E+02    0.88914E-07    0.31220E-03   -0.69774E-06
   123    0.34131E+04    0.10276E+01    0.00000E+00   -0.36938E+02    0.88348E-07    0.30904E-03   -0.72563E-06
   124    0.34473E+04    0.10350E+01    0.00000E+00   -0.37455E+02    0.87787E-07    0.30594E-03   -0.75379E-06
   125    0.34814E+04    0.10420E+01    0.00000E+00   -0.37961E+02    0.87230E-07    0.30289E-03   -0.78160E-06
   126    0.35156E+04    0.10486E+01    0.00000E+00   -0.38455E+02    0.86677E-07    0.29989E-03   -0.80844E-06
   127    0.35498E+04    0.10547E+01    0.00000E+00   -0.38936E+02    0.86129E-07    0.29693E-03   -0.83372E-06
   128    0.35841E+04    0.10604E+01    0.00000E+00   -0.39403E+02    0.85585E-07    0.29403E-03   -0.85682E-06
   129    0.36184E+04    0.10656E+01    0.00000E+00   -0.39855E+02    0.85046E-07    0.29118E-03   -0.87713E-06
   130    0.36526E+04    0.10703E+01    0.00000E+00   -0.40293E+02    0.84511E-07    0.28838E-03   -0.89405E-06
   131    0.36869E+04    0.10746E+01    0.00000E+00   -0.40716E+02    0.83981E-07    0.28562E-03   -0.90711E-06
   132    0.37213E+04    0.10784E+01    0.00000E+00   -0.41122E+02    0.83455E-07    0.28292E-03   -0.91644E-06
   133    0.37556E+04    0.10817E+01    0.00000E+00   -0.41514E+02    0.82934E-07    0.28026E-03   -0.92229E-06
   134    0.37899E+04    0.10845E+01    0.00000E+00   -0.41887E+02    0.82416E-07    0.27765E-03   -0.92493E-06
   135    0.38242E+04    0.10869E+01    0.00000E+00   -0.42244E+02    0.81904E-07    0.27509E-03   -0.92462E-06
   136    0.38583E+04    0.10887E+01    0.00000E+00   -0.42581E+02    0.81395E-07    0.27256E-03   -0.92164E-06
   137    0.38925E+04    0.10901E+01    0.00000E+00   -0.42901E+02    0.80891E-07    0.27008E-03   -0.91624E-06
   138    0.39266E+04    0.10910E+01    0.00000E+00   -0.43201E+02    0.80391E-07    0.26763E-03   -0.90869E-06
   139    0.39604E+04    0.10914E+01    0.00000E+00   -0.43482E+02    0.79895E-07    0.26522E-03   -0.89925E-06
   140    0.39943E+04    0.10913E+01    0.00000E+00   -0.43745E+02    0.79403E-07    0.26285E-03   -0.88819E-06
   141    0.40280E+04    0.10907E+01    0.00000E+00   -0.43986E+02    0.78915E-07    0.26051E-03   -0.87577E-06
   142    0.40618E+04    0.10896E+01    0.00000E+00   -0.44206E+02    0.78431E-07    0.25820E-03   -0.86225E-06
   143    0.40954E+04    0.10881E+01    0.00000E+00   -0.44407E+02    0.77952E-07    0.25592E-03   -0.84790E-06
   144    0.41288E+04    0.10860E+01    0.00000E+00   -0.44586E+02    0.77476E-07    0.25367E-03   -0.83299E-06
   145    0.41621E+04    0.10836E+01    0.00000E+00   -0.44744E+02    0.77005E-07    0.25145E-03   -0.81777E-06
   146    0.41954E+04    0.10806E+01    0.00000E+00   -0.44879E+02    0.76537E-07    0.24925E-03   -0.80250E-06
   147    0.42284E+04    0.10772E+01    0.00000E+00   -0.44992E+02    0.76073E-07    0.24708E-03   -0.78746E-06
   148    0.42613E+04    0.10733E+01    0.00000E+00   -0.45083E+02    0.75614E-07    0.24493E-03   -0.77291E-06
   149    0.42940E+04    0.10690E+01    0.00000E+00   -0.45151E+02    0.75158E-07    0.24280E-03   -0.75910E-06
   150    0.43265E+04    0.10643E+01    0.00000E+00   -0.45193E+02    0.74705E-07    0.24069E-03   -0.74631E-06
   151    0.43588E+04    0.10591E+01    0.00000E+00   -0.45213E+02    0.74257E-07    0.23860E-03   -0.73473E-06
   152    0.43909E+04    0.10535E+01    0.00000E+00   -0.45209E+02    0.73813E-07    0.23652E-03   -0.72435E-06
   153    0.44228E+04    0.10474E+01    0.00000E+00   -0.45178E+02    0.73372E-07    0.23446E-03   -0.71508E-06
   154    0.44544E+04    0.10410E+01    0.00000E+00   -0.45124E+02    0.72935E-07    0.23242E-03   -0.70686E-06
   155    0.44859E+04    0.10342E+01    0.00000E+00   -0.45045E+02    0.72501E-07    0.23040E-03   -0.69959E-06
   156    0.45170E+04    0.10271E+01    0.00000E+00   -0.44942E+02    0.72071E-07    0.22839E-03   -0.69320E-06
   157    0.45479E+04    0.10196E+01    0.00000E+00   -0.44812E+02    0.71645E-07    0.22641E-03   -0.68761E-06
   158    0.45786E+04    0.10118E+01    0.00000E+00   -0.44657E+02    0.71223E-07    0.22444E-03   -0.68273E-06
